,Address,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
844,"Rugby, New York City US",Caribbean Restaurant,Grocery Store,Bank,Chinese Restaurant,Pharmacy,Fast Food Restaurant,Pizza Place,Sandwich Place,Salon / Barbershop,Mobile Phone Shop
845,"Runcorn, Brisbane",Soccer Field,Dog Run,Baseball Field,Train Station,Farmers Market,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
846,"Rushcutters Bay, Sydney",Café,Italian Restaurant,Japanese Restaurant,Australian Restaurant,Park,Chinese Restaurant,Sushi Restaurant,Lounge,Coffee Shop,Wine Bar
847,"Russley, Christchurch New Zealand",Park,Restaurant,Motel,Zoo Exhibit,Farmers Market,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
848,"Rustic Canyon, Los Angeles US",Campground,Cuban Restaurant,Fish Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Zoo Exhibit
849,"Sadar Bazaar, New Delhi India",ATM,Food,Fish Market,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm
850,"Safdarjung Enclave, New Delhi India",Fast Food Restaurant,Hotel,Snack Place,French Restaurant,Nightclub,Department Store,Farm,Film Studio,Filipino Restaurant,Field
851,"Sagar Pur, New Delhi India",Coffee Shop,Ethiopian Restaurant,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Zoo Exhibit
852,"Sainik Farm, New Delhi India",Yoga Studio,Zoo Exhibit,Farm,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
853,"Saint Albans, Christchurch New Zealand",Liquor Store,Café,Shop & Service,Bookstore,Bakery,Thai Restaurant,Automotive Shop,Pub,Indian Restaurant,Fast Food Restaurant
854,"Saint Heliers, Auckland City New Zealand",Café,Bakery,Restaurant,Park,Pizza Place,Indian Restaurant,Diner,Playground,Convenience Store,French Restaurant
855,"Saint Johns, Auckland City New Zealand",Fruit & Vegetable Store,Basketball Stadium,Athletics & Sports,Tennis Court,Café,Fast Food Restaurant,Farmers Market,Italian Restaurant,Restaurant,Sushi Restaurant
856,"Saint Martins, Christchurch New Zealand",Park,Café,Supermarket,Auto Workshop,Seafood Restaurant,Farmers Market,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Film Studio
857,"Saint Marys Bay, Auckland City New Zealand",Café,Bar,Restaurant,Italian Restaurant,Japanese Restaurant,Seafood Restaurant,Coffee Shop,Fast Food Restaurant,Indian Restaurant,Trail
858,"Saket, New Delhi India",Indian Restaurant,Asian Restaurant,Chinese Restaurant,Restaurant,Hotel,Toy / Game Store,Tex-Mex Restaurant,Multiplex,American Restaurant,Café
859,"Salisbury, Brisbane",Bus Station,Train Station,Music Store,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
860,"Samakhushi, Kathmandu Nepal",Asian Restaurant,Restaurant,Hotel,Coffee Shop,Café,Italian Restaurant,Bar,Japanese Restaurant,Bakery,Himalayan Restaurant
861,"San Pedro, Los Angeles US",Coffee Shop,ATM,Burger Joint,Mexican Restaurant,Pharmacy,Pizza Place,Sandwich Place,Italian Restaurant,Fried Chicken Joint,Fast Food Restaurant
862,"Sandgate, Brisbane",Café,Pizza Place,Coffee Shop,Bar,Thrift / Vintage Store,Fish Market,Train Station,Pub,Fast Food Restaurant,Lake
863,"Sandringham, Auckland City New Zealand",Indian Restaurant,Bar,Mediterranean Restaurant,Coffee Shop,Thai Restaurant,South Indian Restaurant,Chinese Restaurant,Pet Store,Shop & Service,Gym
864,"Sandy Ground, New York City US",Bus Stop,Intersection,Greek Restaurant,Athletics & Sports,Art Gallery,Food Truck,Playground,Fish & Chips Shop,Market,Racetrack
865,"Sangam Vihar, New Delhi India",ATM,Juice Bar,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm
866,"Sanlitun, Beijing China",Chinese Restaurant,Japanese Restaurant,Cocktail Bar,Café,Hotel,Coffee Shop,Italian Restaurant,Peking Duck Restaurant,Mexican Restaurant,Brewery
867,"Sarai Kale Khan, New Delhi India",Art Gallery,Train Station,Food Court,Bus Station,Platform,Eye Doctor,Fabric Shop,Factory,Falafel Restaurant,Exhibit
868,"Sarai Rohilla, New Delhi India",Mini Golf,Zoo Exhibit,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farm
869,"Sarita Vihar, New Delhi India",Juice Bar,Park,Train Station,Market,Farm,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
870,"Sarojini Nagar, New Delhi India",Indian Restaurant,Fast Food Restaurant,Dessert Shop,Market,Pizza Place,Department Store,Shopping Mall,Film Studio,Filipino Restaurant,Field
871,"Sarvodaya Enclave, New Delhi India",Pub,Café,Indian Restaurant,Coffee Shop,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
872,"Sawtelle, Los Angeles US",Video Store,Furniture / Home Store,Athletics & Sports,Pizza Place,Movie Theater,Coffee Shop,Baby Store,Pharmacy,Greek Restaurant,Sandwich Place
873,"Schuylerville, New York City US",Mexican Restaurant,Pizza Place,Bank,Pharmacy,Diner,American Restaurant,Hookah Bar,Sandwich Place,Bar,Italian Restaurant
874,"Sea Gate, New York City US",Video Store,Home Service,Spa,Bus Station,Beach,Zoo Exhibit,Farmers Market,Filipino Restaurant,Field,Fast Food Restaurant
875,"Segambut, Kuala Lumpur Malaysia",Soccer Field,Indian Restaurant,Steakhouse,Food Truck,Farm,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
876,"Seputeh, Kuala Lumpur Malaysia",Japanese Restaurant,Bowling Alley,Vegetarian / Vegan Restaurant,Vacation Rental,Malay Restaurant,Bakery,Train Station,Gym,Sushi Restaurant,Hotel Pool
877,"Setagaya, Tokyo Japan",Bakery,Coffee Shop,Café,Indian Restaurant,Ramen Restaurant,Sake Bar,Japanese Restaurant,Italian Restaurant,Yoshoku Restaurant,Chinese Restaurant
878,"Setiawangsa, Kuala Lumpur Malaysia",Middle Eastern Restaurant,Malay Restaurant,Pizza Place,Pet Store,Diner,Park,Moroccan Restaurant,Fast Food Restaurant,BBQ Joint,Convenience Store
879,"Seven Hills, Brisbane",Spa,Café,Dance Studio,Zoo Exhibit,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
880,"Seventeen Mile Rocks, Brisbane",Home Service,Zoo Exhibit,Farm,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Falafel Restaurant
881,"Shadow Hills, Los Angeles US",Lake,Business Service,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Zoo Exhibit
882,"Shahdara, New Delhi India",Gift Shop,Dhaba,Light Rail Station,Vegetarian / Vegan Restaurant,Platform,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
883,"Shahpur Jat, New Delhi India",Bar,Stadium,Chinese Restaurant,Australian Restaurant,Indian Restaurant,Furniture / Home Store,Fountain,Forest,Frozen Yogurt Shop,Exhibit
884,"Shakti Nagar, New Delhi India",Playground,Concert Hall,Fried Chicken Joint,Café,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
885,"Shalimar Bagh, New Delhi India",Shoe Store,Zoo Exhibit,Entertainment Service,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm
886,"Shastri Nagar, New Delhi India",Shopping Mall,Light Rail Station,Flea Market,Zoo Exhibit,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm
887,"Shastri Park, New Delhi India",Metro Station,Furniture / Home Store,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm
888,"Sheepshead Bay, New York City US",Dessert Shop,Turkish Restaurant,Sandwich Place,Creperie,Chinese Restaurant,Grocery Store,Pizza Place,Outlet Store,Hotel,Café
889,"Sherman Oaks, Los Angeles US",Sushi Restaurant,Burger Joint,Coffee Shop,Cosmetics Shop,Pet Store,Gym / Fitness Center,Italian Restaurant,Seafood Restaurant,Clothing Store,Juice Bar
890,"Sherwood, Brisbane",Liquor Store,Video Store,Yoga Studio,Café,Supermarket,Coffee Shop,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Film Studio
891,"Shibuya, Tokyo Japan",Japanese Restaurant,Coffee Shop,Café,French Restaurant,Sake Bar,Bar,Bakery,Gift Shop,Seafood Restaurant,Chocolate Shop
892,"Shifoying, Beijing China",Chinese Restaurant,Park,Fast Food Restaurant,Convenience Store,Hotel,Farmers Market,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
893,"Shinagawa, Tokyo Japan",Ramen Restaurant,Sake Bar,BBQ Joint,Coffee Shop,Tonkatsu Restaurant,Japanese Restaurant,Steakhouse,Café,Italian Restaurant,Yoshoku Restaurant
894,"Shinjuku, Tokyo Japan",Bar,Sake Bar,Japanese Restaurant,Ramen Restaurant,Coffee Shop,BBQ Joint,Café,Soba Restaurant,Multiplex,Hotel
895,"Shirley, Christchurch New Zealand",Fast Food Restaurant,Café,Shopping Mall,Coffee Shop,Hotel,Gastropub,Pet Store,Gym,Grocery Store,Paper / Office Supplies Store
896,"Shivaji Place, New Delhi India",Fast Food Restaurant,Indian Restaurant,Café,Snack Place,Shopping Mall,Multiplex,Diner,Hookah Bar,American Restaurant,Pizza Place
897,"Shore Acres, New York City US",Bus Stop,Italian Restaurant,Deli / Bodega,Intersection,Bar,Restaurant,Pizza Place,Furniture / Home Store,Gastropub,Nail Salon
898,"Shorncliffe, Brisbane",Park,Harbor / Marina,Beach,Train Station,Pier,Café,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
899,"Silver Lake, Los Angeles US",American Restaurant,Rock Club,Coffee Shop,Theater,Thai Restaurant,Golf Course,Seafood Restaurant,Dog Run,Ice Cream Shop,Design Studio
900,"Silver Lake, New York City US",American Restaurant,Rock Club,Coffee Shop,Theater,Thai Restaurant,Golf Course,Seafood Restaurant,Dog Run,Ice Cream Shop,Design Studio
901,"Sinamangal, Kathmandu Nepal",Café,Restaurant,Hotel,Asian Restaurant,Fast Food Restaurant,Coffee Shop,Airport Lounge,Shopping Mall,Airport Terminal,Airport
902,"Sinnamon Park, Brisbane",Flower Shop,Bus Stop,Zoo Exhibit,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Farmers Market
903,"Sion, Mumbai City India",Indian Restaurant,Seafood Restaurant,Movie Theater,Bookstore,Boutique,Sandwich Place,Vegetarian / Vegan Restaurant,Café,Gym / Fitness Center,Food Court
904,"Siri Fort, New Delhi India",Stadium,Park,Café,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Farmers Market
905,"Skid Row, Los Angeles US",Bar,Seafood Restaurant,Restaurant,Concert Hall,Supermarket,Brewery,Gay Bar,Bowling Alley,Flea Market,Grocery Store
906,"Sockburn, Christchurch New Zealand",Chinese Restaurant,Furniture / Home Store,Japanese Restaurant,Sporting Goods Shop,Park,South Indian Restaurant,Zoo Exhibit,Farmers Market,Filipino Restaurant,Field
907,"Soho, New York City US",Italian Restaurant,Mediterranean Restaurant,Coffee Shop,Gym,Art Gallery,Bakery,Spa,Café,Clothing Store,French Restaurant
908,"Solano Canyon, Los Angeles US",Baseball Field,Basketball Court,Park,Disc Golf,Playground,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Film Studio,Filipino Restaurant
909,"Somerfield, Christchurch New Zealand",Coffee Shop,Greek Restaurant,Shopping Mall,Burger Joint,Supermarket,Pharmacy,Bar,Gym,Thai Restaurant,Park
910,"Somerville, New York City US",Park,Zoo Exhibit,Cuban Restaurant,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
911,"Songjiang District, Shanghai China",Coffee Shop,Hotel,Chinese Restaurant,Fast Food Restaurant,Golf Course,Theme Park,Italian Restaurant,Shopping Mall,Sculpture Garden,Restaurant
912,"Soundview, New York City US",Chinese Restaurant,Grocery Store,Pharmacy,Discount Store,Burger Joint,Bus Station,Breakfast Spot,Basketball Court,Playground,Video Store
913,"South Beach, New York City US",Pier,Bus Stop,Beach,Deli / Bodega,Athletics & Sports,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
914,"South Brisbane, Brisbane",Coffee Shop,Park,Café,Dessert Shop,Thai Restaurant,Beach,Dumpling Restaurant,Turkish Restaurant,Cocktail Bar,Bakery
915,"South Extension, New Delhi India",Coffee Shop,Indian Restaurant,Pizza Place,Jewelry Store,Chinese Restaurant,Fast Food Restaurant,Clothing Store,Women's Store,Market,Zoo Exhibit
916,"South Jamaica, New York City US",Bus Station,Bakery,Bus Line,Caribbean Restaurant,Vegetarian / Vegan Restaurant,Sandwich Place,Grocery Store,Supermarket,Chinese Restaurant,Fabric Shop
917,"South New Brighton, Christchurch New Zealand",Soccer Field,Beach,Park,Campground,Eye Doctor,Fabric Shop,Factory,Falafel Restaurant,Farm,Fish & Chips Shop
918,"South Ozone Park, New York City US",Park,Deli / Bodega,Fast Food Restaurant,Food Truck,Bar,Donut Shop,Hotel,Home Service,Sandwich Place,Factory
919,"South Park, Los Angeles US",Park,Grocery Store,Video Store,Fish & Chips Shop,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm
920,"South Side, New York City US",Bar,Coffee Shop,Pizza Place,American Restaurant,Breakfast Spot,Yoga Studio,Wine Bar,Art Gallery,Chinese Restaurant,Japanese Restaurant
921,"South Wharf, Melbourne",Café,Coffee Shop,Burger Joint,Hotel,Japanese Restaurant,Cocktail Bar,Pub,Gastropub,Pet Store,Dessert Shop
922,"South Yarra, Melbourne",Café,Italian Restaurant,Hotel,French Restaurant,Japanese Restaurant,Bakery,Coffee Shop,Steakhouse,Dessert Shop,Pizza Place
923,"Southbank, Melbourne",Café,Bar,Hotel,Japanese Restaurant,Park,Coffee Shop,Cocktail Bar,Burger Joint,Australian Restaurant,Comic Shop
924,"Southshore, Christchurch New Zealand",Camera Store,Spa,Fish Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Zoo Exhibit
925,"Spreydon, Christchurch New Zealand",Park,Bakery,Liquor Store,Greek Restaurant,Thai Restaurant,Shopping Mall,Fast Food Restaurant,Massage Studio,Café,Sandwich Place
926,"Spring Hill, Brisbane",Hotel,Café,Sandwich Place,Convenience Store,Hotel Bar,Pub,Deli / Bodega,Supermarket,Bar,Gym Pool
927,"Springfield Gardens, New York City US",Fried Chicken Joint,Bus Station,Donut Shop,Gym,Check Cashing Service,Chinese Restaurant,Liquor Store,Intersection,Business Service,Park
928,"Spuyten Duyvil, New York City US",Park,Bank,Pizza Place,Pharmacy,Thai Restaurant,Intersection,Tennis Stadium,Tennis Court,Filipino Restaurant,Field
929,"Sriniwaspuri, New Delhi India",Wine Bar,Airport,Pizza Place,Fast Food Restaurant,Zoo Exhibit,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Farmers Market
930,"St Lucia, Brisbane",Café,Japanese Restaurant,Burger Joint,Asian Restaurant,Park,Liquor Store,Grocery Store,Ice Cream Shop,Indian Restaurant,Sandwich Place
931,"St Peters, Sydney",Fast Food Restaurant,Pub,Café,Pet Store,Grocery Store,Furniture / Home Store,Brewery,Recreation Center,Dog Run,Coffee Shop
932,"St. Albans, New York City US",Caribbean Restaurant,Fried Chicken Joint,Discount Store,Chinese Restaurant,Southern / Soul Food Restaurant,Fast Food Restaurant,Motorcycle Shop,Shopping Mall,Grocery Store,Donut Shop
933,"St. George, New York City US",Clothing Store,Bar,Italian Restaurant,Sporting Goods Shop,American Restaurant,Pizza Place,Donut Shop,Toy / Game Store,Park,Baseball Stadium
934,"Stafford Heights, Brisbane",Bakery,Pizza Place,Supermarket,Farmers Market,Farm,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
935,"Stafford, Brisbane",Café,Pub,Fast Food Restaurant,Diner,Dessert Shop,Liquor Store,Chinese Restaurant,Multiplex,Record Shop,Video Game Store
936,"Stapleton, New York City US",Mexican Restaurant,Discount Store,Sandwich Place,Bank,Pizza Place,New American Restaurant,Optical Shop,Harbor / Marina,Pharmacy,Coffee Shop
937,"Starrett City, New York City US",River,Bus Station,Chinese Restaurant,Pizza Place,Caribbean Restaurant,Donut Shop,American Restaurant,Pharmacy,Food Truck,Fountain
938,"Steinway, New York City US",Rental Car Location,Café,Supermarket,Cosmetics Shop,Auto Workshop,Donut Shop,Bagel Shop,Bakery,Brewery,Gym / Fitness Center
939,"Stonefields, Auckland City New Zealand",Café,Athletics & Sports,Gym,Fast Food Restaurant,Sandwich Place,Bar,Pet Store,Bakery,Gourmet Shop,Farmers Market
940,"Stretton, Brisbane",History Museum,Pizza Place,Grocery Store,Sandwich Place,Zoo Exhibit,Falafel Restaurant,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
941,"Strowan, Christchurch New Zealand",Café,Shopping Mall,IT Services,Indian Restaurant,Bike Rental / Bike Share,Restaurant,Exhibit,Fast Food Restaurant,Financial or Legal Service,Film Studio
942,"Studio City, Los Angeles US",Sushi Restaurant,Coffee Shop,Arts & Crafts Store,Ice Cream Shop,Gastropub,Deli / Bodega,Department Store,Farmers Market,Fast Food Restaurant,Fish & Chips Shop
943,"Stuyvesant Town, New York City US",Park,Harbor / Marina,Bar,Bistro,Gym / Fitness Center,Boat or Ferry,Farmers Market,Cocktail Bar,Baseball Field,Gas Station
944,"Styx, Christchurch New Zealand",Department Store,Motel,Supermarket,Farm,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
945,"Suginami, Tokyo Japan",Café,Ramen Restaurant,Sake Bar,Italian Restaurant,Park,BBQ Joint,Indian Restaurant,Thai Restaurant,Bakery,Japanese Restaurant
946,"Sumida, Tokyo Japan",Ramen Restaurant,Japanese Restaurant,Coffee Shop,Soba Restaurant,Sake Bar,Hostel,Café,Scenic Lookout,Bakery,Thai Restaurant
947,"Sumner, Brisbane",Liquor Store,Brewery,Construction & Landscaping,Pub,Fast Food Restaurant,Fish Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant
948,"Sumner, Christchurch New Zealand",Bakery,Park,Middle Eastern Restaurant,Gastropub,Thai Restaurant,Pizza Place,Hostel,Liquor Store,Greek Restaurant,Asian Restaurant
949,"Sun Valley, Los Angeles US",Convenience Store,Grocery Store,Breakfast Spot,RV Park,Fast Food Restaurant,Pizza Place,Coffee Shop,Sandwich Place,Farm,Film Studio
950,"Sunland-Tujunga, Los Angeles US",Burger Joint,Fast Food Restaurant,Bar,Wine Shop,Liquor Store,Chinese Restaurant,Thai Restaurant,Pizza Place,Sandwich Place,Coffee Shop
951,"Sunnybank Hills, Brisbane",Pub,Bakery,Grocery Store,Burger Joint,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
952,"Sunnybank, Brisbane",Café,Asian Restaurant,Zoo Exhibit,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Farmers Market
953,"Sunnyside Gardens, New York City US",Bar,Grocery Store,Pizza Place,American Restaurant,Thai Restaurant,Coffee Shop,Turkish Restaurant,Pharmacy,Supermarket,Korean Restaurant
954,"Sunnyside, New York City US",Pizza Place,Italian Restaurant,Chinese Restaurant,Coffee Shop,Liquor Store,Mexican Restaurant,South American Restaurant,Deli / Bodega,Grocery Store,Theater
955,"Sunset Junction, Los Angeles US",Coffee Shop,American Restaurant,Thai Restaurant,Vegetarian / Vegan Restaurant,Bar,Gay Bar,Restaurant,Breakfast Spot,Astrologer,Taiwanese Restaurant
956,"Sunset Park, New York City US",Bank,Mexican Restaurant,Pizza Place,Bakery,Deli / Bodega,Latin American Restaurant,Fried Chicken Joint,Pharmacy,Gym,Mobile Phone Shop
957,"Surry Hills, Sydney",Café,Thai Restaurant,Coffee Shop,Pub,Pizza Place,Sandwich Place,Breakfast Spot,Japanese Restaurant,Bar,Park
958,"Sutton Place, New York City US",Italian Restaurant,Gym / Fitness Center,Park,Gym,Coffee Shop,Bagel Shop,Hotel,Cupcake Shop,Vegetarian / Vegan Restaurant,Mexican Restaurant
959,"Swayambhu, Kathmandu Nepal",Asian Restaurant,Café,Hotel,Restaurant,Coffee Shop,Italian Restaurant,Historic Site,Bar,Hostel,Indian Restaurant
960,"Sydenham, Christchurch New Zealand",Café,Japanese Restaurant,Coffee Shop,Gym,Bakery,Supermarket,Sandwich Place,Steakhouse,Vietnamese Restaurant,Shopping Mall
961,"Sydney CBD, Sydney",Café,Coffee Shop,Speakeasy,Cocktail Bar,Bar,Shopping Mall,Park,Hotel,Steakhouse,Fountain
962,"Sylmar, Los Angeles US",Pizza Place,Mexican Restaurant,Food,Farm,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Falafel Restaurant
963,"Taigum, Brisbane",Discount Store,Zoo Exhibit,Fishing Spot,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
964,"Taitō, Tokyo Japan",Japanese Restaurant,Coffee Shop,Dessert Shop,Soba Restaurant,BBQ Joint,History Museum,Sake Bar,Café,Unagi Restaurant,Sukiyaki Restaurant
965,"Tamaki, Auckland City New Zealand",Train Station,Cafeteria,Climbing Gym,Home Service,Athletics & Sports,Malay Restaurant,Zoo Exhibit,Film Studio,Filipino Restaurant,Field
966,"Taringa, Brisbane",Sushi Restaurant,Gym,Video Store,Luggage Store,Mexican Restaurant,Pizza Place,Board Shop,Fast Food Restaurant,Sandwich Place,Organic Grocery
967,"Tarragindi, Brisbane",Gym,Hot Dog Joint,Fish & Chips Shop,Zoo Exhibit,Farm,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
968,"Tarzana, Los Angeles US",Sushi Restaurant,Japanese Restaurant,Pizza Place,Deli / Bodega,Breakfast Spot,Brazilian Restaurant,Bank,Italian Restaurant,Middle Eastern Restaurant,Locksmith
969,"Te Papapa, Auckland City New Zealand",Restaurant,Park,Theater,Athletics & Sports,Café,Boutique,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
970,"Templeton, Christchurch New Zealand",Bakery,Burger Joint,Park,Fast Food Restaurant,Fish Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
971,"Teneriffe, Brisbane",Café,Coffee Shop,Thai Restaurant,Park,Ice Cream Shop,Indian Restaurant,Beer Bar,Salad Place,Fish Market,Brewery
972,"Tennyson, Brisbane",Playground,Lake,Medical Supply Store,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant
973,"Terminal Island, Los Angeles US",Food Truck,Rest Area,Building,Boat or Ferry,Zoo Exhibit,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
974,"Thai Town, Los Angeles US",Thai Restaurant,Juice Bar,Sandwich Place,Café,Massage Studio,Bar,Vegetarian / Vegan Restaurant,Liquor Store,Marijuana Dispensary,Bank
975,"Thamel, Kathmandu Nepal",Asian Restaurant,Restaurant,Hotel,Coffee Shop,Café,Italian Restaurant,Bar,Historic Site,Indian Restaurant,Bakery
976,"Thanh Xuân, Hanoi Vietnam",Gym,Shopping Mall,Buffet,Bubble Tea Shop,Multiplex,Korean Restaurant,Bakery,Market,Electronics Store,Café
977,"The Gap, Brisbane",Pharmacy,Martial Arts Dojo,Gym,Fruit & Vegetable Store,Bakery,Deli / Bodega,Supermarket,Pizza Place,Shopping Mall,Coffee Shop
978,"The Rocks, Sydney",Café,Hotel,Australian Restaurant,Cocktail Bar,Hotel Bar,Theater,Scenic Lookout,Steakhouse,Speakeasy,Pub
979,"Three Kings, Auckland City New Zealand",Café,Chinese Restaurant,Park,Bakery,Fast Food Restaurant,Dumpling Restaurant,Gym,Pharmacy,Pet Store,Supermarket
980,"Throgs Neck, New York City US",Juice Bar,American Restaurant,Chinese Restaurant,Coffee Shop,Pizza Place,Asian Restaurant,Sports Bar,Bar,Deli / Bodega,Italian Restaurant
981,"Tian'anmen, Beijing China",Historic Site,Hotel,Chinese Restaurant,Metro Station,Museum,Park,Monument / Landmark,History Museum,Scenic Lookout,French Restaurant
982,"Tihar Village, New Delhi India",Sandwich Place,Sculpture Garden,Zoo Exhibit,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant
983,"Tilak Nagar, New Delhi India",Fast Food Restaurant,Metro Station,Café,Clothing Store,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
984,"Timarpur, New Delhi India",Gym,French Restaurant,Park,Cosmetics Shop,Zoo Exhibit,Farmers Market,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
985,"Tingalpa, Brisbane",Coffee Shop,Pub,Sandwich Place,Gym / Fitness Center,Grocery Store,Mexican Restaurant,Kebab Restaurant,Falafel Restaurant,Field,Fast Food Restaurant
986,"Tis Hazari, New Delhi India",Bus Stop,Light Rail Station,Adult Boutique,Pizza Place,Farm,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
987,"Titiwangsa, Kuala Lumpur Malaysia",Chinese Restaurant,Motorcycle Shop,Indian Restaurant,Asian Restaurant,Malay Restaurant,Café,Hotel,Pakistani Restaurant,Breakfast Spot,Middle Eastern Restaurant
988,"Todt Hill, New York City US",Park,Zoo Exhibit,Cuban Restaurant,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
989,"Toluca Lake, Los Angeles US",Boutique,Gift Shop,Breakfast Spot,Salon / Barbershop,Video Store,Sandwich Place,Athletics & Sports,Liquor Store,Bar,Argentinian Restaurant
990,"Tompkinsville, New York City US",Bus Stop,Park,Brewery,Chinese Restaurant,Taco Place,Caribbean Restaurant,Bakery,Pizza Place,Gastropub,Liquor Store
991,"Toowong, Brisbane",Gym,Coffee Shop,Resort,Indian Restaurant,Market,Fast Food Restaurant,Dry Cleaner,Chinese Restaurant,Cocktail Bar,Portuguese Restaurant
992,"Toshima, Tokyo Japan",Ramen Restaurant,Sake Bar,Café,Japanese Restaurant,Chinese Restaurant,Yoshoku Restaurant,Coffee Shop,Szechuan Restaurant,Steakhouse,Sushi Restaurant
993,"Tottenville, New York City US",Mexican Restaurant,Italian Restaurant,Cosmetics Shop,Food,Deli / Bodega,Thrift / Vintage Store,Bus Stop,Farmers Market,Financial or Legal Service,Film Studio
994,"Toy District, Los Angeles US",Bar,Coffee Shop,Sushi Restaurant,Japanese Restaurant,Mexican Restaurant,Smoke Shop,Gastropub,Bookstore,Bank,Lounge
995,"Travis, New York City US",Bowling Alley,Hotel,Deli / Bodega,Baseball Field,Spanish Restaurant,Sports Club,Park,Gym,Comedy Club,Home Service
996,"Tribeca, New York City US",Park,Italian Restaurant,Café,Wine Bar,Spa,Playground,Coffee Shop,Poke Place,American Restaurant,Art Gallery
